Analysis Id,Sample Id,Sample#,Type,Fixed?,Latitude,Longitude,Distance(miles),Bearing,Direction,Collection Date,Source,Description,Weight,Weight Unit,Depth,Surface Area(cm2),Shape,Uncertainty%,MDA,Method Code,Moisture%,Nuclide,Result,Unit
197905,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,6.29693E-06,8.97302E-06,Gamma Spectroscopy,,Te-129m,-1.01897E-05,uCi/g
197907,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,6.29693E-06,0,Gamma Spectroscopy,,I-132,3.87705E-11,uCi/g
197909,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,6.29693E-06,0,Gamma Spectroscopy,,Te-132,3.87705E-11,uCi/g
197911,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,4.24957E-07,0,Gamma Spectroscopy,,Mo-99,3.91379E-11,uCi/g
197913,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,2.47325E-08,3.32E-08,GP Counting,,Sr-90,2.85386E-08,uCi/g
197915,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,2.47325E-08,3.32E-08,GP Counting,,Sr-90,2.85386E-08,uCi/g
197917,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,3.95271E-08,3.31783E-08,GP Counting,,Sr-Total,4.45697E-07,uCi/g
197919,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,2.47325E-08,3.32E-08,GP Counting,,Sr-89,5.97927E-07,uCi/g
197921,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,2.47325E-08,3.32E-08,GP Counting,,Sr-89,5.97927E-07,uCi/g
197923,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,1.6161E-06,2.58787E-06,Gamma Spectroscopy,,Ce-144,1.57135E-06,uCi/g
197925,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,8.28586E-07,5.00849E-07,Gamma Spectroscopy,,Ba-140,3.85089E-06,uCi/g
197927,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,1.189E-06,1.33852E-06,Gamma Spectroscopy,,Cs-136,1.54059E-05,uCi/g
197929,9017,SCF-08775,Soil,No,37.28524,140.241362,44.55437792,258.0245566,WSW,4/20/11 1:30 PM,DOE,Field Team: second sample ;,,,2,100,Square & Flat,8.95198E-06,7.31548E-06,Gamma Spectroscopy,,I-131,0.000115739,uCi/g
